alpha_solver,alpha_critic,n,initial_accuracy,final_accuracy,wrong_to_right_rate,right_to_wrong_rate,answer_change_rate,answer_change_when_wrong,answer_change_when_right,initial_parse_failure_rate,final_parse_failure_rate
-5.0,-5.0,50,0.62,0.66,0.21052631578947367,0.06451612903225806,0.12,0.2631578947368421,0.03225806451612903,0.1,0.14
-5.0,-2.0,50,0.62,0.68,0.3157894736842105,0.0967741935483871,0.22,0.42105263157894735,0.0967741935483871,0.1,0.08
-5.0,0.0,50,0.62,0.7,0.3684210526315789,0.0967741935483871,0.22,0.5263157894736842,0.03225806451612903,0.1,0.06
-5.0,2.0,50,0.62,0.68,0.3684210526315789,0.12903225806451613,0.24,0.42105263157894735,0.12903225806451613,0.1,0.1
-5.0,5.0,50,0.62,0.68,0.3684210526315789,0.12903225806451613,0.2,0.5263157894736842,0.0,0.1,0.12
-2.0,-5.0,50,0.76,0.74,0.16666666666666666,0.07894736842105263,0.08,0.25,0.02631578947368421,0.02,0.06
-2.0,-2.0,50,0.76,0.74,0.16666666666666666,0.07894736842105263,0.12,0.25,0.07894736842105263,0.02,0.02
-2.0,0.0,50,0.76,0.74,0.16666666666666666,0.07894736842105263,0.16,0.4166666666666667,0.07894736842105263,0.02,0.0
-2.0,2.0,50,0.76,0.7,0.16666666666666666,0.13157894736842105,0.14,0.3333333333333333,0.07894736842105263,0.02,0.08
-2.0,5.0,50,0.76,0.7,0.16666666666666666,0.13157894736842105,0.16,0.25,0.13157894736842105,0.02,0.02
0.0,-5.0,50,0.86,0.78,0.0,0.09302325581395349,0.1,0.2857142857142857,0.06976744186046512,0.02,0.04
0.0,-2.0,50,0.86,0.8,0.0,0.06976744186046512,0.12,0.42857142857142855,0.06976744186046512,0.02,0.0
0.0,0.0,50,0.86,0.78,0.14285714285714285,0.11627906976744186,0.16,0.42857142857142855,0.11627906976744186,0.02,0.0
0.0,2.0,50,0.86,0.78,0.14285714285714285,0.11627906976744186,0.14,0.42857142857142855,0.09302325581395349,0.02,0.02
0.0,5.0,50,0.86,0.8,0.0,0.06976744186046512,0.1,0.2857142857142857,0.06976744186046512,0.02,0.02
2.0,-5.0,50,0.78,0.7,0.0,0.10256410256410256,0.14,0.2727272727272727,0.10256410256410256,0.0,0.02
2.0,-2.0,50,0.78,0.72,0.09090909090909091,0.10256410256410256,0.16,0.45454545454545453,0.07692307692307693,0.0,0.02
2.0,0.0,50,0.78,0.72,0.09090909090909091,0.10256410256410256,0.16,0.5454545454545454,0.05128205128205128,0.0,0.04
2.0,2.0,50,0.78,0.74,0.09090909090909091,0.07692307692307693,0.12,0.5454545454545454,0.0,0.0,0.06
2.0,5.0,50,0.78,0.78,0.36363636363636365,0.10256410256410256,0.2,0.6363636363636364,0.07692307692307693,0.0,0.02
5.0,-5.0,50,0.78,0.72,0.09090909090909091,0.10256410256410256,0.12,0.2727272727272727,0.07692307692307693,0.02,0.02
5.0,-2.0,50,0.78,0.78,0.18181818181818182,0.05128205128205128,0.12,0.36363636363636365,0.05128205128205128,0.02,0.0
5.0,0.0,50,0.78,0.78,0.2727272727272727,0.07692307692307693,0.14,0.45454545454545453,0.05128205128205128,0.02,0.02
5.0,2.0,50,0.78,0.74,0.2727272727272727,0.1282051282051282,0.18,0.45454545454545453,0.10256410256410256,0.02,0.02
5.0,5.0,50,0.78,0.66,0.0,0.15384615384615385,0.18,0.2727272727272727,0.15384615384615385,0.02,0.0
